Product ID,Product Name,Category,Material,Size,Special_features,Customer Type,Price,Payment Type,Sellable Online,Sales Volume,Return Rate,Storage Cost,Seasonality Score,Implicit Feedback
1,Kitchen Pantry Shelf,Kitchen & Dining,Wood,Medium,Durable,Member,2530.23,debit card,1,217,15.11,171.65,4,Positive
2,Ottoman Storage Bench,Storage & Organization,Fabric,Large,Foldable,Normal,1784.65,debit card,1,698,9.15,143.67,3,Positive
3,Rustic Bookshelf,Storage & Organization,Wood,Large,Durable,Member,1325.18,credit card,1,973,15.78,32.06,4,Neutral
4,Rattan Armchair,Sofas & Seating,Velvet,Medium,Durable,Member,1789.55,cash on delivery,0,201,6.42,171.89,3,Negative
5,Glass Dining Table,Tables,Glass,Large,Durable,Normal,1915.92,debit card,0,932,16.26,118.37,7,Positive
6,Upholstered armchair,Sofas & Seating,Plastic,Medium,Foldable,Member,2180.48,cash on delivery,1,701,12.45,72.79,8,Neutral
7,Wooden Side Table,Tables,Wood,Small,Waterproof,Normal,69.18,credit card,1,319,5.04,187.9,5,Neutral
8,Smart Office Desk,Tables,Wood,Small,Durable,Normal,1920.57,cash on delivery,1,120,12.82,64.07,4,Negative
9,Bistro Tables,Tables,Unknown,Medium,Smart,Normal,3338.9,cash on delivery,0,679,1.01,68.87,2,Positive
10,Open Closet Organizer,Bedroom Furniture,Plastic,Small,Smart,Member,937.21,debit card,1,979,8.84,59.19,9,Neutral
11,Padded Dining Chair,Kitchen & Dining,Fabric,Medium,Minimalist,Member,4942.85,debit card,1,706,14.95,145.08,1,Neutral
12,Modern TV Cabinet,Storage & Organization,Wood,Small,Durable,Member,4589.27,credit card,0,452,18.58,153.06,8,Neutral
13,Rattan Armchair,Sofas & Seating,Velvet,Small,Ergonomic,Member,3558.01,credit card,1,177,13.08,148.41,9,Negative
14,Rustic Bookshelf,Storage & Organization,Wood,Medium,Minimalist,Normal,4951.48,credit card,1,703,12.1,37.82,5,Positive
15,Foldable Sun Lounger,Outdoor Furniture,Plastic,Large,Smart,Normal,4395.62,debit card,1,198,8.04,108.67,4,Negative
16,Queen Bed with Storage,Bedroom Furniture,Wood,Small,Smart,Normal,4641.78,cash on delivery,1,979,1.58,76.46,7,Negative
17,Upholstered armchair,Sofas & Seating,Plastic,Small,Foldable,Normal,4172.75,credit card,0,135,6.55,43.84,7,Neutral
18,Luxury Bean Bag,Sofas & Seating,Foam,Medium,Smart,Member,2805.15,debit card,0,761,16.88,120.26,1,Positive
19,Kitchen Pantry Shelf,Kitchen & Dining,Wood,Medium,Durable,Normal,2158.58,cash on delivery,1,751,1.85,38.7,4,Neutral
20,Adjustable Bar Stool,Kitchen & Dining,Metal,Small,Waterproof,Member,4134.34,credit card,1,744,9.01,166.88,5,Negative
21,Luxury Bean Bag,Sofas & Seating,Foam,Medium,Minimalist,Member,833.68,cash on delivery,0,300,6.98,142.36,9,Positive
22,Rattan Armchair,Sofas & Seating,Velvet,Large,Waterproof,Normal,601.23,cash on delivery,1,59,8.8,144.85,2,Negative
23,Rustic Bookshelf,Storage & Organization,Wood,Medium,Minimalist,Member,2716.62,debit card,1,75,3.9,103.14,5,Negative
24,Kitchen Pantry Shelf,Kitchen & Dining,Wood,Small,Smart,Normal,865.21,debit card,1,468,3.29,58.81,6,Negative
25,Sliding Door Wardrobe,Storage & Organization,Wood,Medium,Foldable,Member,4166.81,debit card,0,163,3.93,90.8,6,Neutral
26,Large Wooden Dresser,Bedroom Furniture,Wood,Large,Ergonomic,Member,2608.69,credit card,1,574,4.08,107.94,5,Positive
27,Smart Office Desk,Tables,Wood,Large,Minimalist,Member,1577.68,debit card,1,494,14.98,141.95,6,Negative
28,Open Closet Organizer,Bedroom Furniture,Plastic,Medium,Foldable,Member,746.33,credit card,1,352,3.55,178.11,8,Negative
29,Ottoman Storage Bench,Storage & Organization,Fabric,Large,Smart,Member,1116.34,credit card,1,15,5.06,117.04,7,Neutral
30,Rustic Bookshelf,Storage & Organization,Wood,Large,Ergonomic,Member,436.1,debit card,1,628,19.97,133.76,9,Neutral
31,Sliding Door Wardrobe,Storage & Organization,Wood,Large,Smart,Member,118.32,debit card,1,287,8.24,111.52,9,Negative
32,Industrial Console Table,Tables,Metal,Medium,Smart,Member,2161.28,cash on delivery,1,850,6.93,55.78,5,Negative
33,Hanging Hammock,Outdoor Furniture,Fabric,Medium,Minimalist,Normal,904.99,credit card,1,20,8.95,136.09,6,Negative
34,Compact Shoe Rack,Storage & Organization,Plastic,Large,Minimalist,Normal,913.3,debit card,1,594,9.9,90.51,6,Negative
35,Padded Dining Chair,Kitchen & Dining,Fabric,Medium,Minimalist,Member,1643.21,cash on delivery,1,159,11.91,55.51,1,Positive
36,Foldable Sun Lounger,Outdoor Furniture,Plastic,Medium,Minimalist,Normal,4204.31,credit card,0,968,11.68,94.74,6,Neutral
37,Queen Bed with Storage,Bedroom Furniture,Wood,Small,Foldable,Member,4133.35,credit card,1,163,1.17,149.98,8,Positive
38,Compact Shoe Rack,Storage & Organization,Plastic,Large,Minimalist,Normal,3213.85,credit card,0,448,0.01,119.71,4,Negative
39,Classic Nightstand,Bedroom Furniture,Wood,Small,Waterproof,Normal,3950.5,debit card,0,652,2.18,27.5,7,Positive
40,King Size Bed Frame,Bedroom Furniture,Wood,Large,Ergonomic,Member,1300.53,credit card,0,418,8.5,74.2,4,Positive
41,Chaise Sofas,Sofas & Seating,Fabric,Small,Smart,Normal,3276.48,credit card,0,642,17.84,94.86,10,Negative
42,Bistro Tables,Tables,Unknown,Large,Foldable,Member,1980.77,debit card,0,676,13.03,196.1,7,Neutral
43,Queen Bed with Storage,Bedroom Furniture,Wood,Large,Minimalist,Member,2478.11,cash on delivery,1,11,14.6,67.47,7,Positive
44,Rustic Bookshelf,Storage & Organization,Wood,Large,Ergonomic,Normal,1506.87,cash on delivery,0,271,9.93,13.48,1,Neutral
45,Expandable Kitchen Island,Kitchen & Dining,Wood,Large,Durable,Member,856.48,debit card,1,583,13.34,52.66,1,Negative
46,Wooden Side Table,Tables,Wood,Small,Smart,Normal,1241.22,debit card,0,684,3.15,98.13,9,Positive
47,Hanging Hammock,Outdoor Furniture,Fabric,Small,Smart,Member,1510.94,debit card,1,801,7.41,112.51,3,Neutral
48,Glass Dining Table,Tables,Glass,Medium,Durable,Normal,2921.35,credit card,1,48,15.47,21.03,10,Neutral
49,Ottoman Storage Bench,Storage & Organization,Fabric,Medium,Ergonomic,Member,826.09,credit card,0,111,16.63,66.96,4,Positive
50,Compact Shoe Rack,Storage & Organization,Plastic,Large,Smart,Normal,3651.18,debit card,1,206,10.73,26.87,4,Neutral
51,Open Closet Organizer,Bedroom Furniture,Plastic,Medium,Smart,Member,4585.1,debit card,0,364,14.96,30.99,7,Neutral
52,Open Closet Organizer,Bedroom Furniture,Plastic,Medium,Waterproof,Member,4621.65,debit card,1,454,11.43,149.63,4,Neutral
53,Queen Bed with Storage,Bedroom Furniture,Wood,Large,Smart,Normal,4146.84,credit card,0,125,19.72,17.01,8,Neutral
54,6-Piece Outdoor Dining Set,Outdoor Furniture,Wood,Medium,Smart,Normal,4901.08,credit card,1,430,7.99,121.25,7,Positive
55,Hanging Hammock,Outdoor Furniture,Fabric,Medium,Ergonomic,Normal,4208.62,debit card,0,527,4.12,183.32,7,Neutral
56,Upholstered armchair,Sofas & Seating,Plastic,Large,Foldable,Member,186.08,cash on delivery,1,660,10.86,173.05,7,Positive
57,Bistro Tables,Tables,Unknown,Large,Durable,Member,2989.52,credit card,0,385,10.56,32.98,3,Neutral
58,Smart Office Desk,Tables,Wood,Large,Waterproof,Normal,2369.27,credit card,1,685,4.63,61.01,10,Positive
59,Open Closet Organizer,Bedroom Furniture,Plastic,Medium,Waterproof,Member,3885.66,credit card,0,776,9.57,100.1,2,Positive
60,Sliding Door Wardrobe,Storage & Organization,Wood,Medium,Minimalist,Normal,1557.31,credit card,0,592,18.46,57.0,9,Negative
61,Luxury Bean Bag,Sofas & Seating,Foam,Large,Minimalist,Normal,2779.1,credit card,0,73,2.78,153.68,4,Neutral
62,Upholstered armchair,Sofas & Seating,Plastic,Large,Durable,Member,3188.67,debit card,0,987,11.65,155.06,7,Positive
63,Wooden Side Table,Tables,Wood,Small,Durable,Member,3337.35,credit card,1,957,17.0,82.76,7,Negative
64,Adjustable Standing Desk,Tables,Metal,Medium,Minimalist,Normal,2521.54,credit card,0,26,14.84,80.71,6,Neutral
65,Outdoor Patio Chair,Outdoor Furniture,Metal,Small,Smart,Normal,1297.5,debit card,1,975,14.11,121.58,9,Positive
66,King Size Bed Frame,Bedroom Furniture,Wood,Medium,Smart,Member,4560.88,credit card,1,998,4.05,60.47,4,Negative
67,Compact Shoe Rack,Storage & Organization,Plastic,Large,Smart,Normal,2560.22,cash on delivery,0,684,1.37,40.86,4,Positive
68,Smart Office Desk,Tables,Wood,Large,Minimalist,Normal,1426.0,credit card,0,933,18.21,91.08,5,Neutral
69,Upholstered armchair,Sofas & Seating,Plastic,Medium,Foldable,Normal,4908.38,debit card,0,702,1.83,34.33,3,Neutral
70,Large Wooden Dresser,Bedroom Furniture,Wood,Medium,Foldable,Normal,779.14,credit card,0,205,5.03,165.05,10,Neutral
71,King Size Bed Frame,Bedroom Furniture,Wood,Small,Smart,Normal,4326.24,credit card,1,262,3.55,36.24,1,Negative
72,Garden Lounge Bench,Outdoor Furniture,Wood,Medium,Foldable,Normal,2124.17,credit card,0,276,4.75,197.71,9,Negative
73,6-Piece Outdoor Dining Set,Outdoor Furniture,Wood,Small,Minimalist,Normal,4002.24,debit card,1,938,1.39,65.29,10,Positive
74,Padded Dining Chair,Kitchen & Dining,Fabric,Small,Ergonomic,Member,1675.74,cash on delivery,0,157,8.03,60.41,2,Positive
75,Industrial Console Table,Tables,Metal,Medium,Foldable,Normal,1290.28,debit card,1,877,0.92,135.45,10,Neutral
76,Expandable Kitchen Island,Kitchen & Dining,Wood,Large,Foldable,Normal,2519.22,debit card,1,91,17.51,97.55,3,Neutral
77,Smart Office Desk,Tables,Wood,Small,Foldable,Member,3172.52,credit card,1,949,18.06,157.56,9,Negative
78,Minimalist Sectional Sofa,Sofas & Seating,Fabric,Large,Smart,Member,3746.73,debit card,0,840,8.07,131.96,7,Neutral
79,Large Wooden Dresser,Bedroom Furniture,Wood,Small,Smart,Normal,3246.0,cash on delivery,1,467,2.71,60.59,6,Neutral
80,Padded Dining Chair,Kitchen & Dining,Fabric,Medium,Minimalist,Member,1814.65,cash on delivery,0,261,10.37,180.91,8,Negative
81,Adjustable Bar Stool,Kitchen & Dining,Metal,Large,Durable,Member,4001.65,cash on delivery,1,423,19.22,44.56,5,Negative
82,King Size Bed Frame,Bedroom Furniture,Wood,Large,Smart,Member,1537.38,debit card,1,408,15.23,135.85,5,Positive
83,Sliding Door Wardrobe,Storage & Organization,Wood,Small,Durable,Normal,3421.92,credit card,1,987,9.9,75.09,5,Positive
84,Glass Dining Table,Tables,Glass,Medium,Foldable,Member,1610.32,credit card,1,498,7.66,188.79,3,Neutral
85,Adjustable Bar Stool,Kitchen & Dining,Metal,Large,Smart,Normal,2311.4,debit card,0,804,0.4,121.09,5,Positive
86,Upholstered armchair,Sofas & Seating,Plastic,Small,Smart,Member,1247.09,debit card,1,418,12.48,143.49,6,Neutral
87,Classic Nightstand,Bedroom Furniture,Wood,Small,Smart,Member,3678.98,cash on delivery,0,659,9.51,172.61,6,Neutral
88,Queen Bed with Storage,Bedroom Furniture,Wood,Medium,Durable,Normal,2722.02,debit card,0,245,6.94,53.52,3,Positive
89,Chaise Sofas,Sofas & Seating,Fabric,Medium,Smart,Normal,1476.46,debit card,1,535,15.3,161.68,7,Negative
90,Bistro Tables,Tables,Unknown,Medium,Smart,Member,930.85,credit card,1,180,17.05,173.86,3,Neutral
91,Queen Bed with Storage,Bedroom Furniture,Wood,Medium,Ergonomic,Normal,3307.32,credit card,0,806,18.52,124.33,6,Negative
92,Open Closet Organizer,Bedroom Furniture,Plastic,Small,Foldable,Member,4528.01,cash on delivery,0,727,3.34,62.61,3,Negative
93,6-Piece Outdoor Dining Set,Outdoor Furniture,Wood,Medium,Smart,Normal,3969.64,cash on delivery,1,355,3.26,10.07,8,Negative
94,Upholstered armchair,Sofas & Seating,Plastic,Small,Waterproof,Normal,4138.01,debit card,0,637,10.48,196.87,6,Negative
95,Modern TV Cabinet,Storage & Organization,Wood,Small,Durable,Normal,2994.3,cash on delivery,1,498,18.65,184.43,4,Positive
96,Kitchen Pantry Shelf,Kitchen & Dining,Wood,Large,Ergonomic,Member,2129.87,credit card,1,219,19.09,131.49,10,Neutral
97,Garden Lounge Bench,Outdoor Furniture,Wood,Medium,Waterproof,Member,3011.1,credit card,1,806,7.79,144.57,10,Positive
98,Queen Bed with Storage,Bedroom Furniture,Wood,Medium,Minimalist,Member,999.36,credit card,0,71,17.95,149.06,8,Positive
99,Compact Shoe Rack,Storage & Organization,Plastic,Small,Durable,Normal,3186.13,cash on delivery,1,749,2.73,116.02,5,Positive
100,Large Wooden Dresser,Bedroom Furniture,Wood,Small,Durable,Member,1051.12,cash on delivery,1,45,13.14,161.38,8,Neutral
